epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,82.7206,1.33257,1.2793,0.00264,0.84793,0.72123,0.82627,0.59919,1.26292,0.79434,0.00238,0.00991667,0.00330556,0.00991667,0.00330556,0.0768611,0.07025,0.00991667,0.00330556
2,155.24,1.30035,0.71364,0.00252,0.86288,0.76802,0.85274,0.63095,1.21374,0.70147,0.00231,0.0197195,0.00657316,0.0197195,0.00657316,0.0533306,0.0401843,0.0197195,0.00657316
3,216.507,1.30007,0.67193,0.00251,0.87735,0.77729,0.85756,0.63537,1.21322,0.69403,0.00236,0.0293243,0.00977477,0.0293243,0.00977477,0.0296021,0.0100526,0.0293243,0.00977477
4,277.483,1.29711,0.67016,0.00257,0.86473,0.7882,0.86109,0.62915,1.23116,0.69912,0.00237,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,338.041,1.29527,0.66124,0.00258,0.86254,0.77336,0.85238,0.61765,1.22495,0.71327,0.00235,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,398.936,1.29325,0.64702,0.00253,0.85213,0.79551,0.86268,0.62693,1.22165,0.68378,0.00233,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
7,459.757,1.29407,0.64541,0.00255,0.8665,0.79466,0.86615,0.63284,1.2039,0.67873,0.00233,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
1,86.2963,1.31957,0.644,0.0025,0.88223,0.79705,0.87333,0.64047,1.22553,0.66089,0.00228,0.00991667,0.00330556,0.00991667,0.00330556,0.0768611,0.07025,0.00991667,0.00330556
2,159.604,1.2675,0.61489,0.00242,0.86982,0.81738,0.88245,0.65264,1.19123,0.64568,0.00228,0.0197195,0.00657316,0.0197195,0.00657316,0.0533306,0.0401843,0.0197195,0.00657316
3,221.623,1.26029,0.60542,0.00241,0.86609,0.80377,0.87352,0.64185,1.19789,0.66446,0.00231,0.0293243,0.00977477,0.0293243,0.00977477,0.0296021,0.0100526,0.0293243,0.00977477
4,283.293,1.25722,0.61095,0.00245,0.88428,0.79038,0.86594,0.62824,1.20837,0.66973,0.00235,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
