epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.9123,1.78046,2.88946,0.00414,0.56889,0.40885,0.46439,0.31005,1.47792,1.85119,0.003,0.00991667,0.00330556,0.00991667,0.00330556,0.0768611,0.07025,0.00991667,0.00330556
2,155.468,1.6464,1.56145,0.00354,0.69558,0.60377,0.66694,0.45024,1.47496,1.19948,0.00311,0.0197195,0.00657316,0.0197195,0.00657316,0.0533306,0.0401843,0.0197195,0.00657316
3,208.935,1.63648,1.30456,0.0035,0.69239,0.63889,0.7063,0.46787,1.46606,1.24974,0.00293,0.0293243,0.00977477,0.0293243,0.00977477,0.0296021,0.0100526,0.0293243,0.00977477
4,262.481,1.59758,1.13295,0.00343,0.74722,0.65449,0.74985,0.50037,1.46149,1.01013,0.00293,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,315.427,1.56661,1.02282,0.00334,0.775,0.69306,0.7737,0.52996,1.42765,0.91772,0.00304,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,369.208,1.53243,0.93353,0.0032,0.79137,0.71424,0.79469,0.54059,1.40948,0.9601,0.00275,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,422.29,1.5214,0.89281,0.00316,0.79958,0.71428,0.79993,0.55134,1.35923,0.82388,0.00273,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,475.517,1.4941,0.84209,0.00305,0.83751,0.73838,0.82883,0.58736,1.33556,0.78203,0.0026,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,528.887,1.4773,0.82768,0.00304,0.83715,0.72979,0.81946,0.57305,1.34746,0.83197,0.00271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,582.439,1.46947,0.8046,0.00302,0.82942,0.75272,0.84122,0.59478,1.29701,0.89692,0.00253,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,635.788,1.45985,0.78019,0.00294,0.82703,0.75521,0.83488,0.59123,1.31768,0.7541,0.00261,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,689.113,1.44333,0.75944,0.00293,0.84549,0.75276,0.84077,0.59514,1.30609,0.75638,0.00256,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,742.661,1.43232,0.74263,0.00285,0.84587,0.7686,0.84041,0.59775,1.29361,0.74185,0.00252,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,795.84,1.43388,0.73832,0.00286,0.85611,0.7857,0.86119,0.60962,1.27727,0.71677,0.00252,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,849.259,1.42564,0.73186,0.00286,0.86056,0.77463,0.84857,0.61008,1.27341,0.73516,0.0025,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,903.071,1.42543,0.72004,0.00279,0.85302,0.79082,0.85022,0.60973,1.28561,0.72869,0.0025,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,956.326,1.40202,0.71335,0.00282,0.8418,0.77639,0.85291,0.606,1.28075,0.70137,0.00254,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1009.37,1.40124,0.69676,0.00278,0.86716,0.78309,0.85325,0.60941,1.26208,0.68324,0.00248,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1062.58,1.38552,0.68719,0.00277,0.86072,0.7757,0.85414,0.61552,1.28389,0.70486,0.00255,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1116.25,1.39986,0.69144,0.00275,0.85987,0.78188,0.86098,0.61883,1.23519,0.69779,0.00241,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1169.74,1.38323,0.68546,0.00274,0.87317,0.777,0.85786,0.62399,1.23208,0.68376,0.00236,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1223.37,1.37926,0.68139,0.00272,0.87788,0.77966,0.86027,0.62043,1.2421,0.68423,0.0024,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1276.52,1.3678,0.67041,0.00271,0.8618,0.78537,0.86271,0.62617,1.25144,0.68698,0.00242,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1329.77,1.37644,0.67344,0.0027,0.86575,0.79122,0.86575,0.62813,1.23122,0.68667,0.00236,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1383.22,1.35297,0.65693,0.0027,0.87165,0.77989,0.86283,0.62361,1.22226,0.6773,0.00238,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1436.58,1.34879,0.65027,0.00267,0.86651,0.78084,0.86721,0.63044,1.23246,0.66036,0.00234,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1489.81,1.34105,0.64295,0.00265,0.85982,0.80758,0.87799,0.64944,1.18736,0.63996,0.00225,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1543.22,1.34124,0.63996,0.00262,0.86775,0.78732,0.867,0.63288,1.20444,0.65801,0.00229,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1596.6,1.34287,0.64993,0.00265,0.87501,0.79375,0.86111,0.63032,1.20751,0.67232,0.00233,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1649.93,1.33557,0.6361,0.00263,0.86747,0.79464,0.86525,0.63391,1.22839,0.68176,0.00235,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1703.23,1.32831,0.63027,0.00258,0.87754,0.78633,0.86928,0.63422,1.19462,0.68179,0.00227,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1756.48,1.33566,0.63378,0.0026,0.85673,0.80334,0.86648,0.63534,1.20482,0.65842,0.00235,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1809.69,1.31691,0.6263,0.00259,0.86845,0.79763,0.87327,0.63389,1.26511,0.67042,0.00238,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1862.9,1.32036,0.62849,0.00256,0.87126,0.80457,0.88108,0.64526,1.18949,0.65309,0.00224,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1916.2,1.3215,0.62603,0.00254,0.89787,0.79845,0.8831,0.64492,1.20471,0.64355,0.00232,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1969.21,1.30943,0.61792,0.00257,0.85944,0.79807,0.87092,0.64278,1.21703,0.6579,0.00232,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2022.39,1.31023,0.62176,0.00254,0.88871,0.78356,0.8694,0.63537,1.18253,0.65208,0.00228,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2076.09,1.30619,0.60846,0.00252,0.89157,0.78885,0.87851,0.65439,1.16198,0.63807,0.00222,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2129.62,1.29775,0.60398,0.00248,0.87758,0.80143,0.87905,0.64809,1.19326,0.65015,0.00229,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2183.15,1.30091,0.60841,0.00248,0.89354,0.80329,0.87971,0.64745,1.2065,0.651,0.00232,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2236.64,1.29339,0.60287,0.00247,0.88346,0.80302,0.88099,0.64439,1.2074,0.63484,0.00232,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2290.44,1.29945,0.60473,0.00246,0.89,0.78928,0.87589,0.64685,1.17719,0.64057,0.00225,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
