epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.325,1.82179,1.87732,1.25844,0.62015,0.46313,0.49613,0.29863,1.49766,1.48593,1.02077,0.00123232,0.00123232,0.00123232
2,381.324,1.44578,1.08397,1.05222,0.76582,0.60148,0.67783,0.41495,1.41945,0.99175,0.97385,0.00121464,0.00121464,0.00121464
3,400.255,1.38566,0.9778,1.02966,0.77819,0.66338,0.74557,0.47203,1.37706,0.89415,0.95264,0.00119696,0.00119696,0.00119696
4,419.308,1.3571,0.92226,1.02048,0.81864,0.6813,0.76192,0.48835,1.32447,0.83281,0.94575,0.00117929,0.00117929,0.00117929
5,438.123,1.33044,0.87822,1.01051,0.81643,0.69059,0.77777,0.50009,1.29861,0.81044,0.94115,0.00116161,0.00116161,0.00116161
6,456.998,1.30079,0.84006,1.00042,0.83934,0.71502,0.80449,0.52506,1.26902,0.79173,0.93627,0.00114393,0.00114393,0.00114393
7,476.082,1.2944,0.83108,0.99699,0.83934,0.70343,0.78444,0.47939,1.48369,0.82274,0.98406,0.00112625,0.00112625,0.00112625
8,494.916,1.27153,0.80548,0.99188,0.86057,0.69235,0.79886,0.497,1.39384,0.79525,0.95305,0.00110857,0.00110857,0.00110857
9,513.706,1.26006,0.78798,0.98672,0.83016,0.72465,0.80496,0.53368,1.22351,0.74317,0.92874,0.00109089,0.00109089,0.00109089
10,532.733,1.24929,0.77729,0.98356,0.84479,0.76267,0.82717,0.52191,1.36456,0.76368,0.9484,0.00107321,0.00107321,0.00107321
11,551.625,1.22843,0.75417,0.97587,0.85684,0.75394,0.82691,0.55464,1.15416,0.70955,0.92092,0.00105554,0.00105554,0.00105554
12,570.873,1.22267,0.74464,0.97305,0.86266,0.75534,0.83642,0.54506,1.23359,0.69657,0.92657,0.00103786,0.00103786,0.00103786
13,589.918,1.21006,0.73728,0.9709,0.84473,0.74517,0.82192,0.57171,1.10078,0.69841,0.91018,0.00102018,0.00102018,0.00102018
14,608.824,1.21063,0.73465,0.97363,0.85839,0.76243,0.84051,0.56736,1.16112,0.70014,0.91359,0.0010025,0.0010025,0.0010025
15,627.72,1.20137,0.72901,0.96958,0.84687,0.76109,0.83067,0.54526,1.21874,0.72396,0.91731,0.000984821,0.000984821,0.000984821
16,646.777,1.19186,0.72212,0.96737,0.84462,0.77953,0.8451,0.57347,1.16247,0.67763,0.91265,0.000967143,0.000967143,0.000967143
17,665.761,1.19156,0.71411,0.96461,0.86743,0.77472,0.84667,0.5801,1.14375,0.6828,0.90714,0.000949464,0.000949464,0.000949464
18,684.595,1.17888,0.70056,0.9592,0.85682,0.76771,0.84894,0.57295,1.13321,0.67843,0.90882,0.000931786,0.000931786,0.000931786
19,703.485,1.18147,0.70273,0.96363,0.86182,0.78653,0.84821,0.57777,1.17288,0.70447,0.90745,0.000914107,0.000914107,0.000914107
20,722.178,1.16798,0.69783,0.95904,0.87162,0.77137,0.85036,0.59723,1.0651,0.64079,0.90028,0.000896429,0.000896429,0.000896429
21,741.217,1.1709,0.69324,0.95803,0.88788,0.78112,0.855,0.60247,1.0763,0.63692,0.8968,0.00087875,0.00087875,0.00087875
22,760.248,1.1651,0.68461,0.95704,0.87655,0.76019,0.85033,0.58443,1.11019,0.65316,0.90487,0.000861071,0.000861071,0.000861071
23,779.394,1.15501,0.67975,0.95331,0.87864,0.79163,0.85908,0.59047,1.09878,0.65243,0.8976,0.000843393,0.000843393,0.000843393
24,798.314,1.1456,0.67431,0.95091,0.87979,0.78567,0.86158,0.59227,1.10823,0.63589,0.90066,0.000825714,0.000825714,0.000825714
25,817.172,1.15485,0.67769,0.95419,0.86724,0.79485,0.86421,0.60807,1.0692,0.61983,0.8912,0.000808036,0.000808036,0.000808036
26,836.17,1.13742,0.6628,0.95048,0.88214,0.79262,0.86574,0.59906,1.10446,0.63867,0.89824,0.000790357,0.000790357,0.000790357
27,855.174,1.13629,0.66073,0.94802,0.88875,0.7966,0.86833,0.61137,1.0353,0.61494,0.89402,0.000772679,0.000772679,0.000772679
28,874.243,1.13104,0.65973,0.94966,0.89779,0.79681,0.87404,0.60927,1.0731,0.61629,0.89886,0.000755,0.000755,0.000755
29,893.253,1.13664,0.66034,0.94864,0.90657,0.78961,0.88001,0.62348,1.03828,0.59962,0.88637,0.000737321,0.000737321,0.000737321
30,912.4,1.13136,0.65227,0.94602,0.89701,0.79381,0.87309,0.6023,1.12883,0.61978,0.89926,0.000719643,0.000719643,0.000719643
31,931.493,1.12287,0.65378,0.94406,0.89009,0.79628,0.8674,0.61125,1.05949,0.61915,0.89054,0.000701964,0.000701964,0.000701964
32,950.269,1.12956,0.6495,0.94599,0.90507,0.80722,0.88191,0.61488,1.10183,0.628,0.89531,0.000684286,0.000684286,0.000684286
33,969.195,1.11557,0.64334,0.94318,0.90298,0.7987,0.87797,0.62667,1.0355,0.5918,0.8891,0.000666607,0.000666607,0.000666607
34,988.574,1.11479,0.63933,0.93928,0.89717,0.80105,0.87404,0.59956,1.1409,0.63121,0.89801,0.000648929,0.000648929,0.000648929
35,1007.29,1.10426,0.63462,0.93804,0.8857,0.80951,0.87552,0.61909,1.03909,0.60024,0.88842,0.00063125,0.00063125,0.00063125
36,1026.17,1.102,0.63445,0.93779,0.88744,0.80199,0.87337,0.61785,1.03143,0.60368,0.88945,0.000613571,0.000613571,0.000613571
37,1044.92,1.09991,0.63164,0.9396,0.89798,0.79309,0.8798,0.62825,1.03443,0.58933,0.88818,0.000595893,0.000595893,0.000595893
38,1063.8,1.10154,0.63132,0.93878,0.89734,0.80119,0.87788,0.62109,1.05199,0.59701,0.89019,0.000578214,0.000578214,0.000578214
39,1082.72,1.09465,0.62583,0.93418,0.88968,0.8131,0.8827,0.63341,1.00025,0.58134,0.88418,0.000560536,0.000560536,0.000560536
40,1101.5,1.09412,0.61873,0.93472,0.89799,0.80373,0.88212,0.62821,1.03139,0.58584,0.8855,0.000542857,0.000542857,0.000542857
41,1120.14,1.09054,0.61758,0.93426,0.89331,0.81168,0.88464,0.62902,1.01668,0.58715,0.88306,0.000525179,0.000525179,0.000525179
42,1139.02,1.088,0.61777,0.93173,0.89903,0.81366,0.88682,0.62819,1.02438,0.57524,0.88528,0.0005075,0.0005075,0.0005075
43,1157.84,1.0856,0.62084,0.9333,0.90782,0.80964,0.88581,0.63742,0.97401,0.57074,0.87766,0.000489821,0.000489821,0.000489821
44,1177.16,1.07719,0.6121,0.93157,0.90352,0.8187,0.88707,0.6328,1.02129,0.57962,0.8828,0.000472143,0.000472143,0.000472143
45,1196.01,1.07995,0.61547,0.9319,0.9102,0.81558,0.89105,0.63603,1.03417,0.57248,0.88504,0.000454464,0.000454464,0.000454464
46,1214.96,1.08847,0.61501,0.93301,0.89741,0.80629,0.88145,0.62171,1.06447,0.58088,0.88694,0.000436786,0.000436786,0.000436786
47,1233.9,1.07974,0.61125,0.93009,0.8987,0.81392,0.88693,0.63233,1.03836,0.58064,0.88479,0.000419107,0.000419107,0.000419107
48,1252.81,1.06904,0.60254,0.92779,0.89383,0.8187,0.88472,0.63734,1.01951,0.57718,0.88078,0.000401429,0.000401429,0.000401429
49,1271.78,1.07101,0.60673,0.92988,0.89595,0.82317,0.88895,0.63766,1.00884,0.56905,0.88032,0.00038375,0.00038375,0.00038375
50,1290.94,1.06602,0.60071,0.92609,0.88652,0.81009,0.88008,0.6373,0.99815,0.5746,0.87844,0.000366071,0.000366071,0.000366071
