epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.678,2.56789,3.57727,0.00777,0.47022,0.33858,0.35382,0.1914,1.84667,1.94422,0.00518,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167
2,137.576,1.77919,1.57337,0.0044,0.69303,0.58436,0.64875,0.37625,1.57117,1.34402,0.00402,0.0197766,0.00659221,0.0197766,0.00659221,0.0197766,0.00659221,0.0197766,0.00659221
3,204.651,1.69716,1.32556,0.00402,0.67398,0.61163,0.66129,0.39447,1.58903,1.34713,0.00404,0.0295792,0.00985975,0.0295792,0.00985975,0.0295792,0.00985975,0.0295792,0.00985975
4,272.347,1.6446,1.22701,0.00383,0.74498,0.64105,0.71804,0.44544,1.48537,1.27834,0.00365,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,339.412,1.59362,1.14899,0.00366,0.79279,0.70589,0.79462,0.51454,1.36706,1.08409,0.00321,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,406.78,1.55793,1.09539,0.00352,0.78947,0.72892,0.80692,0.52853,1.36659,0.95935,0.00325,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,474.115,1.53335,1.06713,0.00345,0.81947,0.72399,0.81172,0.52155,1.40867,0.91901,0.00332,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,541.245,1.51523,1.03451,0.00334,0.82458,0.73899,0.82875,0.55732,1.29314,0.885,0.00297,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,608.135,1.49061,1.00152,0.0033,0.82471,0.75028,0.8378,0.57766,1.2627,0.83198,0.00286,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,675.601,1.47742,0.98588,0.00328,0.84014,0.74891,0.84483,0.57286,1.26603,0.82187,0.00285,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,743.38,1.46678,0.96479,0.00317,0.8246,0.76225,0.8474,0.56409,1.27335,0.89037,0.00291,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,810.533,1.45023,0.93763,0.00316,0.83787,0.76305,0.84756,0.5741,1.25468,0.85702,0.00284,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,878.345,1.4376,0.92,0.00307,0.85261,0.78184,0.86343,0.59874,1.22038,0.78469,0.00269,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,945.822,1.43146,0.90287,0.00306,0.8397,0.77104,0.85454,0.59171,1.2311,0.77417,0.00273,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1012.78,1.42419,0.91093,0.00304,0.84446,0.78667,0.86527,0.59878,1.2152,0.78749,0.00274,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1080.84,1.4223,0.89154,0.00299,0.84866,0.78336,0.86965,0.60644,1.19856,0.76482,0.00268,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1148.31,1.40072,0.88346,0.00301,0.84622,0.7708,0.8621,0.59532,1.21695,0.77022,0.00271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1215.27,1.3974,0.86855,0.00298,0.87139,0.79725,0.8819,0.61739,1.19142,0.73771,0.00263,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1282.98,1.38645,0.85165,0.00296,0.86257,0.79444,0.88183,0.61756,1.18778,0.72265,0.00261,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1350.15,1.3834,0.84749,0.0029,0.85668,0.78205,0.87105,0.61234,1.20148,0.73016,0.00272,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1417.31,1.37182,0.83502,0.00293,0.87018,0.79156,0.87988,0.62507,1.18377,0.7161,0.00262,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1484.38,1.36393,0.82689,0.00288,0.85374,0.79736,0.87532,0.62061,1.15698,0.71132,0.00253,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1551.96,1.36647,0.83001,0.0029,0.85583,0.80344,0.88316,0.62738,1.16256,0.6969,0.00251,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1619.35,1.36521,0.82286,0.00286,0.87506,0.7987,0.88679,0.63112,1.16435,0.68141,0.00254,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1686.47,1.34416,0.80628,0.00287,0.86325,0.79797,0.88884,0.6319,1.1611,0.68826,0.00251,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1754,1.34163,0.80718,0.00286,0.86715,0.80404,0.89216,0.62919,1.15907,0.68535,0.00253,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1820.71,1.34068,0.80258,0.00283,0.85785,0.80392,0.88468,0.63458,1.14171,0.68103,0.00248,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1887.83,1.33783,0.79647,0.0028,0.87555,0.80342,0.89064,0.63704,1.14703,0.69152,0.00248,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1955.24,1.32956,0.7906,0.0028,0.86989,0.81287,0.89166,0.63882,1.14014,0.67236,0.00246,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2022.33,1.32657,0.78122,0.0028,0.88228,0.80515,0.89265,0.64109,1.14392,0.66802,0.00248,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2089.94,1.31901,0.77346,0.00274,0.87483,0.8078,0.89417,0.64233,1.13873,0.65786,0.00246,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2157.23,1.32439,0.77859,0.00274,0.86969,0.80045,0.89111,0.64015,1.13532,0.67201,0.00247,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2224.44,1.3219,0.77853,0.00277,0.86894,0.82252,0.89726,0.64701,1.13981,0.65952,0.00248,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2291.98,1.31361,0.76004,0.00274,0.8703,0.81031,0.89444,0.64427,1.13269,0.66289,0.00245,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2359.71,1.31062,0.75846,0.00272,0.87739,0.81109,0.89708,0.64443,1.12984,0.64921,0.00243,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2427.14,1.30995,0.76751,0.00277,0.8754,0.82072,0.89746,0.65023,1.12095,0.65146,0.00241,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2494.5,1.3039,0.76244,0.0027,0.88144,0.81832,0.90249,0.65652,1.11215,0.63648,0.00238,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2561.51,1.30106,0.75483,0.00269,0.87831,0.81209,0.8977,0.65568,1.1024,0.65071,0.00234,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2628.89,1.29854,0.75298,0.00268,0.88566,0.81701,0.90205,0.65849,1.11382,0.63779,0.00239,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2696.02,1.29645,0.74793,0.00268,0.88633,0.82338,0.90192,0.6555,1.11686,0.63803,0.00241,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2763.2,1.29942,0.74924,0.00267,0.87882,0.82006,0.90025,0.65464,1.10426,0.64047,0.00235,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2830.71,1.29124,0.74022,0.00264,0.89368,0.82033,0.90706,0.66427,1.10254,0.61504,0.00235,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2898.03,1.28857,0.7332,0.00265,0.8751,0.832,0.90369,0.65511,1.09691,0.64305,0.00234,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2965.66,1.29053,0.74171,0.00265,0.88514,0.81792,0.90294,0.65814,1.1017,0.62733,0.00235,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
